time,average_temperature(°C),average_humidity(%),average_co2(ppm),average_illumination(lux)
2024-04-17 15:00:00,25.386516853932584,36.72097378277154,807.7444444444444,66.33333333333333
2024-04-17 16:00:00,25.560000000000002,37.28333333333333,791.8888888888889,65.61666666666666
2024-04-17 17:00:00,25.113218390804597,38.461685823754785,831.85,66.35
2024-04-17 18:00:00,24.81074074074074,38.33796296296296,788.4055555555556,68.2
2024-04-17 19:00:00,24.29,37.458333333333336,595.4444444444445,68.86666666666666
2024-04-17 20:00:00,24.0823754789272,38.5919540229885,599.0333333333333,68.96666666666667
2024-04-17 21:00:00,23.96925925925926,39.455555555555556,632.7833333333333,69.0
2024-04-17 22:00:00,23.54494382022472,39.938202247191015,604.5444444444444,69.04444444444445
2024-04-17 23:00:00,23.42388888888889,40.480555555555554,614.5833333333334,68.66666666666667
2024-04-18 00:00:00,23.24662921348315,40.62640449438202,589.088888888889,68.77777777777779
2024-04-18 01:00:00,23.12865168539326,40.896067415730336,573.661111111111,68.06666666666666
2024-04-18 02:00:00,23.10561797752809,41.08988764044944,546.6555555555556,15.766666666666667
2024-04-18 03:00:00,23.275,40.858333333333334,531.2111111111111,0.0
2024-04-18 04:00:00,23.259074074074075,40.825,527.1333333333333,0.0
2024-04-18 05:00:00,23.16928838951311,40.890449438202246,529.0166666666667,0.0
2024-04-18 06:00:00,23.02444444444445,41.379629629629626,533.1555555555556,1.3
2024-04-18 07:00:00,22.97677902621723,41.94007490636704,553.7111111111111,50.93333333333333
2024-04-18 08:00:00,23.338764044943822,42.27153558052434,593.6944444444445,66.86666666666666
2024-04-18 09:00:00,23.55131086142322,44.11423220973783,941.8611111111111,65.70555555555556
2024-04-18 10:00:00,24.03462962962963,43.58518518518518,1199.0611111111111,66.73333333333333
2024-04-18 11:00:00,24.344756554307118,42.87359550561798,1228.8,65.67777777777778
2024-04-18 12:00:00,24.0185393258427,42.337078651685395,997.9666666666667,65.0
2024-04-18 13:00:00,24.263703703703705,43.85,1209.7,65.78888888888889
2024-04-18 14:00:00,24.665355805243447,44.49438202247191,1396.0222222222221,66.66111111111111
2024-04-18 15:00:00,25.02740740740741,44.61944444444445,1433.7777777777778,64.17222222222223
2024-04-18 16:00:00,25.23709677419355,44.56989247311828,1410.2222222222222,66.77777777777777
2024-04-18 17:00:00,25.01222222222222,45.04259259259259,1411.177777777778,65.83333333333333
2024-04-18 18:00:00,24.75992509363296,45.29213483146067,1411.1833333333334,65.28888888888889
2024-04-18 19:00:00,24.173333333333332,45.28888888888889,1246.8277777777778,66.6
2024-04-18 20:00:00,23.602996254681646,44.71348314606742,948.1222222222223,66.85555555555555
2024-04-18 21:00:00,23.254868913857678,44.91011235955056,918.5277777777777,66.85555555555555
2024-04-18 22:00:00,23.02734082397004,44.603932584269664,856.3055555555555,66.86666666666666
2024-04-18 23:00:00,22.793939393939397,45.16003787878788,684.6111111111111,55.833333333333336
2024-04-19 00:00:00,23.131666666666664,45.233333333333334,577.9222222222222,0.0
2024-04-19 01:00:00,23.43258426966292,44.808052434456926,539.4666666666667,0.0
2024-04-19 02:00:00,23.556481481481484,44.233333333333334,528.5333333333333,0.0
2024-04-19 03:00:00,23.61814814814815,43.519444444444446,525.85,0.0
2024-04-19 04:00:00,23.62677902621723,42.912921348314605,523.9944444444444,0.0
2024-04-19 05:00:00,23.601481481481486,42.95648148148148,527.3388888888888,0.0
2024-04-19 06:00:00,23.56928838951311,43.258426966292134,530.6944444444445,1.5
2024-04-19 07:00:00,23.57574074074074,43.46944444444444,539.1222222222221,6.366666666666666
2024-04-19 08:00:00,22.908239700374533,44.151685393258425,557.8444444444444,68.61666666666666
2024-04-19 09:00:00,22.782222222222224,45.88333333333333,908.7333333333333,66.8
2024-04-19 10:00:00,23.091947565543073,45.87546816479401,1277.9777777777779,66.92777777777778
2024-04-19 11:00:00,23.44375,44.58143939393939,1445.7666666666667,66.6888888888889
2024-04-19 12:00:00,23.12388888888889,42.044444444444444,1060.6444444444444,66.93333333333334
2024-04-19 13:00:00,23.355805243445698,44.52902621722846,1266.9111111111113,66.6
2024-04-19 14:00:00,23.829588014981276,45.10112359550562,1391.2777777777778,68.38333333333334
2024-04-19 15:00:00,24.35056179775281,46.18258426966292,1448.8111111111111,68.13333333333334
2024-04-19 16:00:00,24.68759259259259,46.827777777777776,1454.5111111111112,67.48333333333333
2024-04-19 17:00:00,24.867977528089888,47.631086142322104,1429.2,64.95555555555556
2024-04-19 18:00:00,24.492592592592594,48.16018518518519,1369.0166666666667,66.47777777777777
2024-04-19 19:00:00,23.696816479400752,46.13857677902622,1056.4333333333334,66.96666666666667
2024-04-19 20:00:00,23.21222222222222,45.88611111111111,882.5,67.0
2024-04-19 21:00:00,22.90277777777778,46.293518518518525,756.061111111111,66.9888888888889
2024-04-19 22:00:00,22.798876404494383,46.598314606741575,693.5666666666667,66.96666666666667
2024-04-19 23:00:00,22.67666666666667,46.266666666666666,679.3666666666667,39.10555555555556
2024-04-20 00:00:00,23.181086142322098,46.20224719101124,615.6166666666667,0.0
2024-04-20 01:00:00,23.51537037037037,45.855555555555554,575.55,0.0
2024-04-20 02:00:00,23.720037453183522,45.41011235955056,558.4333333333333,0.0
2024-04-20 03:00:00,23.82921348314607,45.30337078651685,551.2111111111111,0.0
2024-04-20 04:00:00,23.898333333333333,45.333333333333336,548.4277777777777,0.0
2024-04-20 05:00:00,23.935037878787877,45.25,539.9055555555556,0.0
2024-04-20 06:00:00,23.944696969696967,45.32954545454545,543.7055555555555,1.1666666666666667
2024-04-20 07:00:00,23.957865168539325,45.17790262172285,539.6777777777778,1.5055555555555555
2024-04-20 08:00:00,23.972962962962963,45.041666666666664,543.0888888888888,1.5611111111111111
2024-04-20 09:00:00,23.989138576779027,44.99063670411985,541.1388888888889,1.6166666666666667
2024-04-20 10:00:00,23.996296296296293,45.156481481481485,545.7333333333333,1.0
2024-04-20 11:00:00,24.02777777777778,45.69351851851852,536.9277777777778,1.0
2024-04-20 12:00:00,24.078651685393258,46.70599250936329,532.5666666666667,26.45
2024-04-20 13:00:00,24.267228464419475,48.45692883895131,571.65,67.0
2024-04-20 14:00:00,24.496441947565543,49.20224719101124,609.5222222222222,67.0
2024-04-20 15:00:00,24.690555555555555,49.19444444444444,637.1777777777777,67.03333333333333
2024-04-20 16:00:00,24.880149812734086,49.75,665.2222222222223,66.96666666666667
2024-04-20 17:00:00,24.56037037037037,48.290740740740745,684.95,66.86666666666666
2024-04-20 18:00:00,24.23370786516854,47.51966292134831,673.2166666666667,66.96666666666667
2024-04-20 19:00:00,24.00351851851852,47.53611111111111,615.15,66.93333333333334
2024-04-20 20:00:00,23.834082397003748,47.37921348314607,567.3666666666667,67.06666666666666
2024-04-20 21:00:00,23.669101123595507,47.28932584269663,521.9333333333333,67.0
2024-04-20 22:00:00,23.581111111111113,47.894444444444446,524.7333333333333,67.03333333333333
2024-04-20 23:00:00,23.617977528089888,48.38951310861424,592.45,66.93333333333334
2024-04-21 00:00:00,23.631296296296295,48.49166666666667,625.0555555555555,66.96666666666667
2024-04-21 01:00:00,23.652247191011238,48.78277153558053,609.161111111111,29.066666666666666
2024-04-21 02:00:00,23.78882575757576,49.63257575757576,553.6722222222222,0.0
2024-04-21 03:00:00,23.837453183520598,50.27902621722846,527.6111111111111,0.0
2024-04-21 04:00:00,23.857962962962965,50.644444444444446,512.9277777777778,0.0
2024-04-21 05:00:00,23.85888888888889,50.78888888888889,509.6,0.0
2024-04-21 06:00:00,23.853932584269664,51.024344569288395,512.6777777777778,0.0
2024-04-21 07:00:00,23.849444444444444,51.36388888888889,511.5944444444445,1.6111111111111112
2024-04-21 08:00:00,23.844756554307118,51.57303370786517,514.9611111111111,2.0
2024-04-21 09:00:00,23.843333333333334,51.9,517.9666666666667,1.9611111111111112
2024-04-21 10:00:00,23.850561797752807,52.013108614232216,517.5444444444445,1.8666666666666667
2024-04-21 11:00:00,23.843148148148146,52.297222222222224,516.9666666666667,1.0
