time,total_power(Wh)
2024-04-29 12:00:00,60571.0
2024-04-29 13:00:00,56895.5
2024-04-29 14:00:00,62155.0
2024-04-29 15:00:00,60511.5
2024-04-29 16:00:00,63376.0
2024-04-29 17:00:00,63567.0
2024-04-29 18:00:00,70276.5
2024-04-29 19:00:00,75482.0
2024-04-29 20:00:00,43745.5
2024-04-29 21:00:00,44229.5
2024-04-29 22:00:00,44625.0
2024-04-29 23:00:00,50016.0
2024-04-30 00:00:00,37301.5
2024-04-30 01:00:00,21835.0
2024-04-30 02:00:00,3971.0
2024-04-30 03:00:00,3728.5
2024-04-30 04:00:00,6210.5
2024-04-30 05:00:00,4635.5
2024-04-30 06:00:00,4363.5
2024-04-30 07:00:00,5202.5
2024-04-30 08:00:00,4592.0
2024-04-30 09:00:00,9192.5
2024-04-30 10:00:00,28961.5
2024-04-30 11:00:00,36873.0
2024-04-30 12:00:00,12914.0
2024-04-30 13:00:00,84757.5
2024-04-30 14:00:00,97777.0
2024-04-30 15:00:00,70492.5
2024-04-30 16:00:00,71828.0
2024-04-30 17:00:00,77562.5
2024-04-30 18:00:00,24160.833333333332
2024-04-30 19:00:00,4451.0
2024-04-30 20:00:00,2199.5
2024-04-30 21:00:00,6854.5
2024-04-30 22:00:00,5793.0
2024-04-30 23:00:00,32159.0
2024-05-01 00:00:00,106001.0
2024-05-01 01:00:00,90245.0
2024-05-01 02:00:00,75390.5
2024-05-01 03:00:00,1986.5
2024-05-01 04:00:00,3496.0
2024-05-01 05:00:00,7659.5
2024-05-01 06:00:00,3761.0
2024-05-01 07:00:00,1841.0
2024-05-01 08:00:00,7582.5
2024-05-01 09:00:00,6016.0
2024-05-01 10:00:00,2818.0
2024-05-01 11:00:00,5903.5
2024-05-01 12:00:00,5472.0
2024-05-01 13:00:00,54643.5
2024-05-01 14:00:00,2827.5
2024-05-01 15:00:00,3670.0
2024-05-01 16:00:00,2952.5
2024-05-01 17:00:00,28126.5
2024-05-01 18:00:00,33003.0
2024-05-01 19:00:00,39738.0
2024-05-01 20:00:00,31287.5
2024-05-01 21:00:00,17475.5
2024-05-01 22:00:00,16100.5
2024-05-01 23:00:00,17601.5
2024-05-02 00:00:00,961.0
