time,cumulative,average_temperature(°C),average_humidity(%),average_co2(ppm),average_illumination(lux)
2024-04-20 19:00:00,1.594,3.187,3.861,6.509,4.204
2024-04-20 20:00:00,1.594,3.178,3.861,6.42,4.204
2024-04-20 21:00:00,2.105,3.171,3.858,6.337,4.206
2024-04-20 22:00:00,1.999,3.164,3.856,6.255,4.205
2024-04-20 23:00:00,1.999,3.16,3.869,6.266,4.205
2024-04-21 00:00:00,1.999,3.162,3.879,6.388,4.203
2024-04-21 01:00:00,1.999,3.162,3.881,6.438,4.205
2024-04-21 02:00:00,1.999,3.163,3.888,6.408,3.178
2024-04-21 03:00:00,1.999,3.169,3.905,6.314,0.0
2024-04-21 04:00:00,1.999,3.171,3.918,6.267,0.0
2024-04-21 05:00:00,1.999,3.172,3.924,6.24,0.0
2024-04-21 06:00:00,1.999,3.172,3.927,6.233,0.0
2024-04-21 07:00:00,1.999,3.172,3.932,6.24,-3.624
2024-04-21 08:00:00,1.999,3.172,3.939,6.239,0.514
2024-04-21 09:00:00,1.999,3.171,3.943,6.242,0.693
2024-04-21 10:00:00,2.195,3.171,3.949,6.251,0.674
2024-04-21 11:00:00,2.418,3.171,3.952,6.249,0.617
2024-04-21 12:00:00,1.524,3.171,3.957,6.249,0.0
2024-04-21 13:00:00,1.896,3.173,3.96,6.255,3.851
2024-04-21 14:00:00,2.236,3.181,3.956,6.278,4.205
2024-04-21 15:00:00,1.979,3.186,3.951,6.299,4.203
2024-04-21 16:00:00,2.124,3.169,3.928,6.482,4.205
2024-04-21 17:00:00,2.077,3.16,3.927,6.629,4.205
2024-04-21 18:00:00,2.282,3.156,3.923,6.674,4.204
2024-04-21 19:00:00,2.023,3.152,3.918,6.634,4.205
2024-04-21 20:00:00,1.633,3.155,3.917,6.596,4.204
2024-04-21 21:00:00,0.94,3.169,3.918,6.472,4.205
2024-04-21 22:00:00,0.94,3.181,3.916,6.464,4.204
2024-04-21 23:00:00,0.94,3.186,3.903,6.413,4.205
2024-04-22 00:00:00,0.94,3.186,3.888,6.328,4.205
2024-04-22 01:00:00,0.94,3.185,3.882,6.284,4.205
2024-04-22 02:00:00,0.94,3.184,3.88,6.263,4.086
2024-04-22 03:00:00,0.94,3.179,3.883,6.252,0.0
2024-04-22 04:00:00,0.94,3.173,3.886,6.242,0.0
2024-04-22 05:00:00,0.94,3.168,3.89,6.238,0.0
2024-04-22 06:00:00,0.94,3.165,3.892,6.231,0.0
2024-04-22 07:00:00,0.94,3.162,3.891,6.231,0.311
2024-04-22 08:00:00,0.94,3.161,3.891,6.244,2.384
2024-04-22 09:00:00,0.94,3.156,3.885,6.262,3.868
