time,ac_in_power(Kwh),ac_out_power(Kwh),automatic_door_power(Kwh)
2024-04-19 22:00:00,0.10000000000000142,2.8500000000000227,0.0
2024-04-19 23:00:00,0.10000000000000142,1.6499999999999773,0.0
2024-04-20 00:00:00,0.0,0.10000000000002274,0.0
2024-04-20 01:00:00,0.09999999999999787,0.10000000000002274,0.0
2024-04-20 02:00:00,0.0,0.0999999999999659,0.0
2024-04-20 03:00:00,0.0,0.19999999999998863,0.0
2024-04-20 04:00:00,0.0,0.0,0.0
2024-04-20 05:00:00,0.10000000000000142,0.20000000000004547,0.0
2024-04-20 06:00:00,0.0,0.0999999999999659,0.04999999999999982
2024-04-20 07:00:00,0.0,0.10000000000002274,0.04999999999999982
2024-04-20 08:00:00,0.0,0.19999999999998863,0.0
2024-04-20 09:00:00,0.09999999999999787,0.10000000000002274,0.0
2024-04-20 10:00:00,0.0,0.0999999999999659,0.0
2024-04-20 11:00:00,0.0,0.19999999999998863,0.0
2024-04-20 12:00:00,0.0,0.0,0.0
2024-04-20 13:00:00,0.0,0.20000000000004547,0.0
2024-04-20 14:00:00,0.10000000000000142,0.19999999999998863,0.0
2024-04-20 15:00:00,0.0,0.0,0.0
2024-04-20 16:00:00,0.0,0.19999999999998863,0.0
2024-04-20 17:00:00,0.10000000000000142,1.3000000000000114,0.10000000000000053
2024-04-20 18:00:00,0.0,1.5,0.0
2024-04-20 19:00:00,0.0,1.0,0.0
2024-04-20 20:00:00,0.09999999999999787,1.25,0.0
2024-04-20 21:00:00,0.0,1.25,0.0
2024-04-20 22:00:00,0.10000000000000142,1.349999999999966,0.0
2024-04-20 23:00:00,0.0,1.25,0.0
2024-04-21 00:00:00,0.0,1.2000000000000455,0.0
2024-04-21 01:00:00,0.09999999999999787,0.6999999999999886,0.0
2024-04-21 02:00:00,0.0,0.0,0.0
2024-04-21 03:00:00,0.0,0.19999999999998863,0.0
2024-04-21 04:00:00,0.0,0.19999999999998863,0.09999999999999964
2024-04-21 05:00:00,0.10000000000000142,0.0,0.0
2024-04-21 06:00:00,0.0,0.19999999999998863,0.0
2024-04-21 07:00:00,0.0,0.10000000000002274,0.0
2024-04-21 08:00:00,0.0,0.14999999999997726,0.0
2024-04-21 09:00:00,0.10000000000000142,0.1500000000000341,0.0
2024-04-21 10:00:00,0.0,0.0999999999999659,0.0
2024-04-21 11:00:00,0.0,0.10000000000002274,0.0
2024-04-21 12:00:00,0.0,0.19999999999998863,0.0
2024-04-21 13:00:00,0.09999999999999787,0.8000000000000114,0.0
2024-04-21 14:00:00,0.0,0.39999999999997726,0.0
2024-04-21 15:00:00,0.0,2.0,0.09999999999999964
2024-04-21 16:00:00,0.10000000000000142,1.8000000000000114,0.0
2024-04-21 17:00:00,0.09999999999999787,1.6000000000000227,0.0
2024-04-21 18:00:00,0.0,1.8999999999999773,0.0
2024-04-21 19:00:00,0.10000000000000142,0.8000000000000114,0.0
2024-04-21 20:00:00,0.0,0.0,0.0
2024-04-21 21:00:00,0.0,0.10000000000002274,0.0
2024-04-21 22:00:00,0.10000000000000142,0.19999999999998863,0.0
2024-04-21 23:00:00,0.0,0.0999999999999659,0.0
2024-04-22 00:00:00,0.0,0.20000000000004547,0.0
2024-04-22 01:00:00,0.09999999999999787,0.19999999999998863,0.0
2024-04-22 02:00:00,0.0,0.0999999999999659,0.10000000000000053
2024-04-22 03:00:00,0.10000000000000142,0.10000000000002274,0.0
2024-04-22 04:00:00,0.0,0.19999999999998863,0.0
2024-04-22 05:00:00,0.0,0.10000000000002274,0.0
2024-04-22 06:00:00,0.0,0.0999999999999659,0.0
2024-04-22 07:00:00,0.0,0.20000000000004547,0.0
2024-04-22 08:00:00,0.09999999999999787,0.0999999999999659,0.0
2024-04-22 09:00:00,0.0,0.10000000000002274,0.0
2024-04-22 10:00:00,0.10000000000000142,0.6499999999999773,0.0
2024-04-22 11:00:00,0.0,2.25,0.0
2024-04-22 12:00:00,0.10000000000000142,0.10000000000002274,0.09999999999999964
2024-04-22 13:00:00,0.0,0.14999999999997726,0.0
2024-04-22 14:00:00,0.09999999999999787,0.1500000000000341,0.0
2024-04-22 15:00:00,0.0,0.0999999999999659,0.0
2024-04-22 16:00:00,0.0,1.3000000000000114,0.0
2024-04-22 17:00:00,0.10000000000000142,1.6999999999999886,0.0
2024-04-22 18:00:00,0.09999999999999787,1.400000000000034,0.0
2024-04-22 19:00:00,0.0,0.0,0.0
2024-04-22 20:00:00,0.0,1.5499999999999545,0.0
2024-04-22 21:00:00,0.10000000000000142,0.8500000000000227,0.0
2024-04-22 22:00:00,0.0,0.10000000000002274,0.10000000000000053
2024-04-22 23:00:00,0.0,0.0999999999999659,0.0
2024-04-23 00:00:00,0.0,0.10000000000002274,0.0
2024-04-23 01:00:00,0.0,0.19999999999998863,0.0
